[2025-05-26 06:36:54] IP: 192.168.170.24 | Page: /edpweb/memberCRM/ | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-26 08:13:02] IP: 192.168.170.24 | Page: /edpweb/memberCRM/ | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-26 08:13:27] IP: 192.168.170.24 | Page: /edpweb/Me/ | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-26 08:13:30] IP: 192.168.170.24 | Page: /edpweb/Me/intransitPbBatal.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-26 08:16:02] IP: 192.168.170.24 | Page: /edpweb/masterPB/ | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-26 08:16:05] IP: 192.168.170.24 | Page: /edpweb/informasiProduk/form.php | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-26 08:16:10] IP: 192.168.170.24 | Page: /edpweb/informasiProduk/index.php?kodePLU=13500 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-26 08:16:30] IP: 192.168.170.24 | Page: /edpweb/informasiProduk/index.php?kodePLU=1668970 | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-26 08:21:26] IP: 192.168.170.24 | Page: /edpweb/getMember/ | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-26 08:21:39] IP: 192.168.170.24 | Page: /edpweb/getMember/report.php?tanggalAwal=2025-05-01&tanggalAkhir=2025-05-31&salesman=VDI | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-26 08:22:18] IP: 192.168.170.24 | Page: /edpweb/poinMember/ | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
[2025-05-26 08:22:36] IP: 192.168.170.24 | Page: /edpweb/promoPerLokasi/ | Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
